References	PartNumber	Quantity
C2,C7,C14,C15,C17	GRM188R71C104KA01D	5
C5,C8,C16	GRM188R60J106ME47J	3
C6,C9,C10	GRM188R61A105KA61D	3
R5,R6,R7	RC0603JR-07100KL	3
R2,R3,R8	RC0603JR-071KL	3
C11,C12	CL10B472KB8NNNC	2
C3,C4	GRM1885C1H120JA01D	2
R1,R4	MCF0603JT6K80	2
Y1	ABS07-120-32.768KHZ-T	1
S4	AYZ0202AGRLC	1
A1	BMD-200-B-R	1
BAT4	BU2032SM-BT-GTR	1
C1	GRM31CR60J107ME39L	1
D2	LA L296-Q2R2-1-Z	1
U1	LIS2DH12TR	1
D1	LP L296-J2L2-25-Z	1
U2	LP2985-18DBVR	1
U5	M95M02-DRMN6TP	1
U3	MCP6231T-E/OT	1
MK1	SPU0414HR5H-SB-7	1
